"id","user_id","alias2","comment","name","fullname","username"
8,0,"dominos-pizza-04554","Perfect","Domino&#039;s Pizza","Petru",""
9,0,"cuptorul-cu-lemne-02114","Excelent","Cuptorul cu lemne","Tudor",""
11,113,"la-mama-sector-1","Cel mai bun restaurant din Bucuresti.","La Mama","0","balcuradu"
12,0,"dominium-26554","Super restaurant","Dominium","Ion Alecsandri",""
13,0,"dominos-pizza-04554","It's the best !","Domino&#039;s Pizza","fed2563",""
20,0,"casa-calypso-sectorul-1","Calitatea I in toate ! ","Casa Calypso","Gia",""
21,121,"cuptorul-cu-lemne-02114","Mancaruri delicioase ca la mama acasa si ospatari de nota 10","Cuptorul cu lemne","0","Razvan85"
22,122,"dominium-26554","Un restaurant exceptional cu o servire pe masura si mancarea de asemenea.","Dominium","0","soare"
23,123,"la-mama-sector-1","un restaurant foarte bun si ok din toate punctele de vedere","La Mama","0","ingeras"
24,0,"dominium-26554","V-ati intrebat vreodata unde mai exact se gaseste barlogul gurmandului sau mai precis al iubitorului dar mai ales degustatorului de pizza, paste si delicioase deserturi? Ei bine...da...incepe cu D----si se termina cu -m.Pollo Parmigiana este pizza mea favorita insa cu siguranta se gaseste una pentru fiecare gust...Va intrebati de ce 5 stele? Una pentru mancare, 2 pentru mancare, 3 pentru mancare si tot asa pana la 5...","Dominium","Catalina Toma",""
25,128,"oala-cu-bunatati-sectorul-1","Mancaruri ca la mama acasa...gasesti numai la ""Oala cu bunatati""... diversitate, arome, savoare... de la cel mai mic pana la cel mai mare pofticios !!!","Oala cu bunatati","0","Irene"
26,0,"dominos-pizza-04554","Aici am mancat cea mai buna pizza cu livrare la dimiciliu. Imi place la nebunie pizza lor rustica, cu blatul normal si bineinteles cu extra topingul de pepperoni, asa cum imi place mie.
Va recomand  cu incredere Domino's Pizza!","Domino&#039;s Pizza","DENISA",""
27,128,"gambinos-pizza-sectorul-3"," Savoare ! Rafinament ! Maiestrie !
Gambrinos Pizza satisface chiar si cele mai pretentioase papile gustative :)","Gambinos Pizza","0","Irene"
